"sample_size","scalar","cohensd","perc_type2"
100,0.4,0.1,0.8888
100,0.4,0.2,0.7111
100,0.4,0.3,0.4206
100,0.4,0.4,0.1955
100,0.4,0.5,0.0516
100,0.4,0.6,0.0099
100,0.4,0.7,8e-04
100,0.4,0.8,0
100,0.4,0.9,0
100,0.4,1,0
10,0.5,0.1,0.95
10,0.5,0.2,0.9373
10,0.5,0.3,0.9066
10,0.5,0.4,0.8722
10,0.5,0.5,0.8091
10,0.5,0.6,0.7487
10,0.5,0.7,0.6706
10,0.5,0.8,0.5662
10,0.5,0.9,0.4821
10,0.5,1,0.3885
20,0.5,0.1,0.9433
20,0.5,0.2,0.9124
20,0.5,0.3,0.8421
20,0.5,0.4,0.7635
20,0.5,0.5,0.6601
20,0.5,0.6,0.5363
20,0.5,0.7,0.4098
20,0.5,0.8,0.2688
20,0.5,0.9,0.1913
20,0.5,1,0.1019
35,0.5,0.1,0.9309
35,0.5,0.2,0.8687
35,0.5,0.3,0.768
35,0.5,0.4,0.6275
35,0.5,0.5,0.4404
35,0.5,0.6,0.2951
35,0.5,0.7,0.1664
35,0.5,0.8,0.0724
35,0.5,0.9,0.0336
35,0.5,1,0.0119
50,0.5,0.1,0.9206
50,0.5,0.2,0.8389
50,0.5,0.3,0.6658
50,0.5,0.4,0.4941
50,0.5,0.5,0.2832
50,0.5,0.6,0.1415
50,0.5,0.7,0.0623
50,0.5,0.8,0.0174
50,0.5,0.9,0.0049
50,0.5,1,6e-04
100,0.5,0.1,0.8857
100,0.5,0.2,0.7125
100,0.5,0.3,0.4171
100,0.5,0.4,0.1942
100,0.5,0.5,0.0515
100,0.5,0.6,0.0107
100,0.5,0.7,0.001
100,0.5,0.8,0
100,0.5,0.9,0
100,0.5,1,0
10,0.6,0.1,0.954
10,0.6,0.2,0.9343
10,0.6,0.3,0.9057
10,0.6,0.4,0.8724
10,0.6,0.5,0.8127
10,0.6,0.6,0.7439
10,0.6,0.7,0.675
10,0.6,0.8,0.566
10,0.6,0.9,0.4982
10,0.6,1,0.3971
20,0.6,0.1,0.9414
20,0.6,0.2,0.9095
20,0.6,0.3,0.8513
20,0.6,0.4,0.7705
20,0.6,0.5,0.6557
20,0.6,0.6,0.5308
20,0.6,0.7,0.4078
20,0.6,0.8,0.2739
20,0.6,0.9,0.1826
20,0.6,1,0.1027
35,0.6,0.1,0.9282
35,0.6,0.2,0.8755
35,0.6,0.3,0.7518
35,0.6,0.4,0.6179
35,0.6,0.5,0.4515
35,0.6,0.6,0.3031
35,0.6,0.7,0.1567
35,0.6,0.8,0.0759
35,0.6,0.9,0.0324
35,0.6,1,0.0107
50,0.6,0.1,0.9204
50,0.6,0.2,0.8343
50,0.6,0.3,0.6726
50,0.6,0.4,0.4943
50,0.6,0.5,0.2892
50,0.6,0.6,0.1413
50,0.6,0.7,0.0595
50,0.6,0.8,0.0163
50,0.6,0.9,0.0065
50,0.6,1,6e-04
100,0.6,0.1,0.8852
100,0.6,0.2,0.712
100,0.6,0.3,0.4238
100,0.6,0.4,0.1828
100,0.6,0.5,0.0537
100,0.6,0.6,0.0112
100,0.6,0.7,5e-04
100,0.6,0.8,1e-04
100,0.6,0.9,0
100,0.6,1,0
10,0.7,0.1,0.9521
10,0.7,0.2,0.9395
10,0.7,0.3,0.911
10,0.7,0.4,0.8688
10,0.7,0.5,0.8158
10,0.7,0.6,0.7461
10,0.7,0.7,0.6657
10,0.7,0.8,0.5743
10,0.7,0.9,0.5032
10,0.7,1,0.3968
20,0.7,0.1,0.9445
20,0.7,0.2,0.9104
20,0.7,0.3,0.8523
20,0.7,0.4,0.7699
20,0.7,0.5,0.6528
20,0.7,0.6,0.5319
20,0.7,0.7,0.4065
20,0.7,0.8,0.2723
20,0.7,0.9,0.1878
20,0.7,1,0.1017
35,0.7,0.1,0.9236
35,0.7,0.2,0.8652
35,0.7,0.3,0.7623
35,0.7,0.4,0.6117
35,0.7,0.5,0.4471
35,0.7,0.6,0.2937
35,0.7,0.7,0.1586
35,0.7,0.8,0.0703
35,0.7,0.9,0.0356
35,0.7,1,0.0105
50,0.7,0.1,0.9178
50,0.7,0.2,0.8338
50,0.7,0.3,0.6665
50,0.7,0.4,0.4927
50,0.7,0.5,0.293
50,0.7,0.6,0.153
50,0.7,0.7,0.0586
50,0.7,0.8,0.0159
50,0.7,0.9,0.0051
50,0.7,1,7e-04
100,0.7,0.1,0.8816
100,0.7,0.2,0.7067
100,0.7,0.3,0.4198
100,0.7,0.4,0.202
100,0.7,0.5,0.0505
100,0.7,0.6,0.0124
100,0.7,0.7,9e-04
100,0.7,0.8,1e-04
100,0.7,0.9,0
100,0.7,1,0
10,0.8,0.1,0.9511
10,0.8,0.2,0.9332
10,0.8,0.3,0.9024
10,0.8,0.4,0.8669
10,0.8,0.5,0.8142
10,0.8,0.6,0.7495
10,0.8,0.7,0.6742
10,0.8,0.8,0.5694
10,0.8,0.9,0.4997
10,0.8,1,0.4
20,0.8,0.1,0.943
20,0.8,0.2,0.9133
20,0.8,0.3,0.8468
20,0.8,0.4,0.769
20,0.8,0.5,0.656
20,0.8,0.6,0.5345
20,0.8,0.7,0.4023
20,0.8,0.8,0.27
20,0.8,0.9,0.189
20,0.8,1,0.1065
35,0.8,0.1,0.9344
35,0.8,0.2,0.8712
35,0.8,0.3,0.7568
35,0.8,0.4,0.6173
35,0.8,0.5,0.4468
35,0.8,0.6,0.2953
35,0.8,0.7,0.1673
35,0.8,0.8,0.0653
35,0.8,0.9,0.0331
35,0.8,1,0.0114
50,0.8,0.1,0.9193
50,0.8,0.2,0.8346
50,0.8,0.3,0.6787
50,0.8,0.4,0.4874
50,0.8,0.5,0.2874
50,0.8,0.6,0.146
50,0.8,0.7,0.0653
50,0.8,0.8,0.0157
50,0.8,0.9,0.0059
50,0.8,1,0.0011
100,0.8,0.1,0.8783
100,0.8,0.2,0.7053
100,0.8,0.3,0.4164
100,0.8,0.4,0.193
100,0.8,0.5,0.0575
100,0.8,0.6,0.0096
100,0.8,0.7,0.0015
100,0.8,0.8,0
100,0.8,0.9,1e-04
100,0.8,1,0
10,0.9,0.1,0.9484
10,0.9,0.2,0.9374
10,0.9,0.3,0.9093
10,0.9,0.4,0.8711
10,0.9,0.5,0.81
10,0.9,0.6,0.7506
10,0.9,0.7,0.6715
10,0.9,0.8,0.5723
10,0.9,0.9,0.4877
10,0.9,1,0.3978
20,0.9,0.1,0.9403
20,0.9,0.2,0.9125
20,0.9,0.3,0.8512
20,0.9,0.4,0.7709
20,0.9,0.5,0.6532
20,0.9,0.6,0.5401
20,0.9,0.7,0.4003
20,0.9,0.8,0.2723
20,0.9,0.9,0.1863
20,0.9,1,0.1076
35,0.9,0.1,0.9261
35,0.9,0.2,0.8731
35,0.9,0.3,0.7518
35,0.9,0.4,0.6207
35,0.9,0.5,0.4441
35,0.9,0.6,0.2958
35,0.9,0.7,0.1649
35,0.9,0.8,0.0731
35,0.9,0.9,0.0314
35,0.9,1,0.0095
50,0.9,0.1,0.9197
50,0.9,0.2,0.8324
50,0.9,0.3,0.6767
50,0.9,0.4,0.4851
50,0.9,0.5,0.2966
50,0.9,0.6,0.1545
50,0.9,0.7,0.0574
50,0.9,0.8,0.0177
50,0.9,0.9,0.0039
50,0.9,1,5e-04
100,0.9,0.1,0.8805
100,0.9,0.2,0.7172
100,0.9,0.3,0.4104
100,0.9,0.4,0.1926
100,0.9,0.5,0.0542
100,0.9,0.6,0.0099
100,0.9,0.7,0.0014
100,0.9,0.8,1e-04
100,0.9,0.9,0
100,0.9,1,0
10,1,0.1,0.9518
10,1,0.2,0.9367
10,1,0.3,0.9053
10,1,0.4,0.869
10,1,0.5,0.8199
10,1,0.6,0.7504
10,1,0.7,0.6746
10,1,0.8,0.5788
10,1,0.9,0.49
10,1,1,0.3971
20,1,0.1,0.9431
20,1,0.2,0.9112
20,1,0.3,0.8517
20,1,0.4,0.774
20,1,0.5,0.6545
20,1,0.6,0.5329
20,1,0.7,0.4011
20,1,0.8,0.2701
20,1,0.9,0.1874
